block_group,UFP_mean,asian_non_his,hispanic_any_race,black_non_hisp,two_or_more_race,white_non_his,american_indian,house_less20k,house_20_35k,house_35_50k,house_50_75k,house_more_75,education_less_highschool,education_highschool,education_some_college,education_college_degree,education_graduate,age_less_5_male,age_5_17_male,age_18_65_male,age_more_65_male,age_less_5_female,age_5_17_female,age_18_65_female,age_more_65_female,pm25,no2
420039809001,12848.472896695033,0,66,746,81,1020,18,0,0,0,0,0,333,1083,369,0,0,0,0,1920,11,0,0,0,0,10.4797,13.1325
420035625002,10653.433026025652,0,0,16,0,363,0,23,68,29,34,40,58,139,88,55,6,0,8,180,5,0,0,147,39,10.1085996271186,9.87571301694915
420031911001,14568.049131926346,53,0,41,8,1116,0,44,107,102,68,254,55,368,224,220,132,37,37,483,51,37,54,470,49,9.91175048304214,12.1685695786228
420031306001,11385.63183633836,0,0,587,27,10,0,97,44,93,30,41,124,167,122,29,7,36,13,241,42,0,31,213,57,10.4782259067358,9.79647592400691
420035623003,10591.359772713904,0,71,426,0,202,0,130,53,8,59,15,7,218,121,54,20,0,103,130,24,45,78,222,97,10.4510692,9.83454829230769
420031018002,11199.533861862243,0,21,370,62,956,0,72,136,110,142,192,144,265,270,243,205,64,46,453,116,19,72,445,186,10.0717612598945,10.093522572559401
420030802002,12771.856004964793,6,0,65,0,537,0,76,64,86,27,90,26,103,135,91,156,0,5,265,39,38,0,200,61,11.2124065079365,12.8461173015873
420031414004,13401.100720038241,482,21,103,21,1453,0,332,124,73,113,432,80,384,173,432,666,54,41,551,221,45,121,507,553,10.193914228972,11.3691105724299
420032023004,12909.94967835147,176,0,65,22,983,11,102,167,32,185,246,46,315,261,205,233,15,30,612,95,9,0,430,82,10.3987284124629,10.0532738649852
420032708003,9951.515971661216,0,0,175,4,698,9,64,18,53,99,208,43,205,214,217,67,9,31,332,66,12,28,325,83,9.55301133938706,9.84165290578887
420035629002,11045.377685046113,18,0,10,33,326,0,67,45,20,35,12,18,130,117,15,0,28,52,91,27,13,0,144,32,10.1056779005525,8.46712171270718
420032620003,12137.193903671663,84,7,245,0,548,0,134,96,8,46,57,18,246,147,17,67,34,204,173,26,65,62,284,36,9.98438119883041,10.608482748538
420035631003,14548.957932094248,0,25,26,9,241,0,30,17,29,46,25,25,80,72,48,31,11,0,98,18,25,0,102,47,9.9859182815735,10.5536776604555
420031920001,12149.9203019644,49,0,277,30,626,0,101,36,62,56,111,21,159,136,219,72,50,76,279,10,65,89,310,99,10.8755869031378,10.5691319236016
420030201004,16742.441397402126,58,0,68,21,494,0,55,82,65,109,95,10,0,68,130,160,0,0,266,44,0,0,215,33,10.1086090225564,14.2203533834586
420031414001,11006.572880836504,124,39,16,0,835,0,42,43,38,47,220,0,35,151,205,308,18,129,269,56,0,98,356,88,10.6420045908184,11.3556693612774
420031018001,10246.564682789558,55,9,92,0,965,9,51,60,52,110,229,0,178,274,212,195,52,76,332,65,15,81,392,127,9.96643284294235,9.72916662027833
420031920003,11542.817279550933,0,13,55,68,834,0,50,17,92,102,104,26,231,246,150,17,15,101,336,32,53,68,287,78,10.6100417704011,9.99885557399723
